mack,doanhthuthuan,loinhuangop,loinhuanthuan,loinhuantruocthue,loinhuansauthue,laitrencophieu
,179980998434.0,69642411243.0,15080920731.0,14889166688.0,11487759308.0,633.0
,364125331903.0,243193484990.0,176371294119.0,169584534959.0,163041675630.0,1673.2919042189283
,7636981845.0,1773607644.0,631650151.0,459010396.0,301032990.0,67.0
,2885082483183.0,-31158545914.0,8360698979.0,10800552310.0,8098598747.0,82.0
,154588021348.0,39369912736.0,3388994476.0,5768708337.0,4588485589.0,952.0
,8219620812274.0,2185624392370.0,491172168061.0,518620224902.0,402838693548.0,1649.0
,4263652481420.0,1187229359068.0,649490989629.0,650026189696.0,499926615540.0,3131.0
,58007600000000.0,610514752463.5018,53269569000000.0,31383041000000.0,25121739000000.0,1673.2919042189283
,567481233266.0,95771153349.0,64968061624.0,66062998199.0,53911449645.0,4593.0
,289023851965.0,28433874301.0,19706387478.0,18874428610.0,15221663388.0,213.0
,1250751633361.0,219755254220.0,81293430179.0,82075769273.0,65192731818.0,1066.0
,195319562182.0,53809562358.0,32115783361.0,32116848261.0,25541438834.0,2061.0
,3420009031516.0,76228561446.0,20620046869.0,20285068242.0,16148959380.0,1673.2919042189283
,5122748106370.0,252676628914.0,270155500675.0,272733651732.0,237674042228.0,1639.0
,535069458414.0,78057354626.0,60804415045.0,60770595613.0,48560175521.0,462.0
,4615678655546.0,1988626867992.0,1228940159698.0,1240532853687.0,990761729138.0,12103.0
,292317180642.0,173296030049.0,98532451946.0,101285633775.0,81536860646.0,1673.2919042189283
,649783859237.0,38193096040.0,3370711115.0,4361695462.0,1876727670.0,1673.2919042189283
,1726061598246.0,179938097397.0,71034454048.0,69071046151.0,53764585280.0,2135.0
,286984251029.0,89220276445.0,60133523840.0,61197534230.0,51279213733.0,1358.0
,413925301481.0,357287322257.0,248394140256.0,248394125256.0,248394125256.0,4193.0
,268896118470.0,24538241610.0,1420627535.0,1526246101.0,1110730415.0,292.0
,419054292150.0,82616595128.0,26885074380.0,27005998078.0,21702461466.0,1754.0
,398361764594.0,96735427594.0,106023540744.0,151075328042.0,132441971503.0,1177.0
,296141935115.0,112693938189.0,75200561537.0,75075866392.0,70295431056.0,1052.0
,11150559393.0,5964319046.0,2772040440.0,2772040440.0,2161232352.0,1673.2919042189283
,627512823414.0,93967072295.0,44292590631.0,44870618278.0,44870618278.0,1673.2919042189283
,638420842021.0,61503892698.0,51768245635.0,51817739641.0,40994097751.0,2050.0
,1410672301781.0,865271775516.0,515160652177.0,515685500462.0,413071438156.0,1956.0
,935030033556.0,56203659587.0,50738496376.0,50742220842.0,40363698264.0,808.0
