MaCk,EPS,PE,PB,ROA,ROE,TangTruongDoanhThuThuan,TangTruongLoiNhuanGop,TangTruongTongTaiSan
ARM,1534.0,16.36,02.02,27.883.950.023.106.900,12.370.399.259.741.300,61.48,10.89,-3.65
ART,-216.0,-6.01,0.96,-15.372.651.279.618.200,-15.937.516.534.004.800,-77.16,-240.21,-14.95
ASA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASG,318.0,57.46,0.82,1.635.016.056.239.240,26.309.404.613.386.900,-0.22,22.56,7.23
ASM,519.0,16.56,0.39,11.057.373.727.802.200,3.130.591.754.557.250,0.33,2.98,12.79
ASP,134.0,29.44,0.49,241.788.966.599.415,12.692.579.326.853.900,-11.18,-17.34,-30.1
AST,3303.0,16.5,3.97,23.717.744.829.696.500,3.273.283.824.602.270,20.95,27.19,12.09
ATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATG,1.0,3270.34,-217.08,9.573.147.439.508.360,0.0,-78.49,83.63,-76.95
ATS,57.0,264.16,1.2,410.831.420.024.818,4.552.738.971.434.810,5.57,20.1,-4.01
ATSC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVC,4026.0,13.46,3.73,24.033.922.252.836.400,2.771.357.253.553.190,7.98,1.24,-20.92
AVF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVG,886.0,33.06,2.28,31.712.524.676.751.400,5.643.061.773.405.710,13.86,21.89,13.08
AVS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAB,1135.0,10.57,0.91,6.110.793.452.135.750,8.582.722.608.625.540,0.0,0.0,8.7
BAF,1688.0,16.66,2.29,4.337.630.250.036.800,11.048.441.308.790.400,6.83,115.0,14.28
BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BaoVietBank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAX,3241.0,12.49,1.58,3.669.433.719.336.880,12.630.252.637.898.300,-2.06,14.62,-0.07
