doanhthuthuan,loinhuangop,loinhuanthuan,loinhuantruocthue
1624584390402.0,117831311545.0,-58876914942.0,5944481964.0
1022145168340.0,137764624380.0,-445384062.0,-449382469.0
88587513537.0,4289865814.0,6713705186.0,7255154300.0
27109145516.0,-1149218116.0,14491822715.0,14473965053.0
4121908336161.3467,610514752463.5018,-2647470818.0,-2647470818.0
2153311868675.0,74794754369.0,4748987588.0,12958649001.0
669293653728.0,127655132835.0,282622040121.0,306808884285.0
11036275254339.0,587411095542.0,444391462392.0,444529674873.0
570016285007.0,41950537554.0,7702630097.0,10680506510.0
1424557233369.0,67178966188.0,7229524351.0,8360708884.0
309120694013.0,76018991434.0,78556508758.0,78470913068.0
1224567614835.0,388143814651.0,345721377437.0,402747248968.0
1411694307969.0,528061984425.0,532352853985.0,532265537959.0
123961564779.0,75808687234.0,8691524225.0,8432308312.0
16724562362.0,7447517529.0,9284657655.0,9222579483.0
9865301938473.0,3498556241379.0,3414160144988.0,3402608444483.0
547959392195.0,192684615489.0,40117930067.0,38296727025.0
375849378401.0,206488797740.0,142271142425.0,139922769561.0
968575979199.0,402816455366.0,138019804671.0,137093249919.0
3374697356483.0,442257760792.0,62736700608.0,60698731944.0
40831422035.0,-20913483470.0,-33288567356.0,-32779742972.0
854261565138.0,148157012756.0,-47156029116.0,-42896851737.0
1152738721057.0,80406112525.0,59227493648.0,59324067723.0
200193410113.0,17754467269.0,-5774106721.0,-5222175635.0
116730807384.0,51535447109.0,33802749675.0,36226409375.0
1182158471785.0,488123117288.0,372536675941.0,574246214447.0
9358243746877.0,1393574129207.0,531573724714.0,531112811455.0
268896118470.0,24538241610.0,1420627535.0,1526246101.0
1188944768920.0,120680921897.0,30798891822.0,33634093026.0
3432318861415.0,317144589285.0,94083327933.0,65287342743.0
122027799263.0,25916730349.0,2251559375.0,2783376209.0
470442520495.0,189578993300.0,141090945375.0,139676389989.0
74268617674.0,28518406798.0,10949939008.0,11816972416.0
2469776072818.0,1235973810961.0,976514642048.0,977331647342.0
2359678868681.0,357665285174.0,178681354959.0,181237244618.0
479672838624.0,73038886510.0,-12562063381.0,23035487240.0
4276240392092.0,1720876568754.0,1295326227636.0,1295564056727.0
154588021348.0,39369912736.0,3388994476.0,5768708337.0
195319562182.0,53809562358.0,32115783361.0,32116848261.0
30648032502235.0,2758190361614.0,355141924818.0,392268407409.0
289023851965.0,28433874301.0,19706387478.0,18874428610.0
709627651087.0,182554833418.0,42730096766.0,38129730301.0
30897225625237.0,14404685240219.0,9012591353499.0,9004312866417.0
1903414913090.0,166253126404.0,446181855228.0,481041747817.0
763632751650.0,441689621162.0,425385872893.0,425437651873.0
992703709958.0,26828493928.0,-24698660481.0,-27549398832.0
36222104894.0,16266225902.0,3726189867.0,4251662963.0
7649715892213.0,1961739670083.0,11723942093.0,22705586964.0
87306977445.0,32163457538.0,-16771835949.0,-16553125339.0
1012994256509.0,46787989081.0,2763088070.0,2665705864.0
38485998242.0,-92032770.0,-13293446337.0,-13640457070.0
1369180341465.0,188880043158.0,104935436900.0,102222650231.0
3758585336781.0,1675400675942.0,580025969561.0,586860605786.0
8383666601214.0,3124198406841.0,2675136495429.0,2690456397789.0
1993145618946.0,147589659535.0,125100716810.0,125405305504.0
296141935115.0,112693938189.0,75200561537.0,75075866392.0
1845463214248.0,510335117092.0,229146656468.0,223924113560.0
3497604332595.0,910952346857.0,567609593332.0,569719178786.0
6912623489158.0,751680448585.0,422116807782.0,421810405344.0
311186580224.0,42674242190.0,29552495105.0,29609581208.0
4646638398567.0,554355310902.0,142132704981.0,141015787858.0
761888236324.0,200334704171.0,129958940428.0,133034065429.0
694341855567.0,326912995943.0,377168425953.0,403034350211.0
2143144259787.0,199891136796.0,67214127809.0,68207706417.0
217636663313.0,132017120770.0,116317899761.0,116370968830.0
906053704717.0,289679074934.0,39837906404.0,40011375060.0
868155807971.0,128095486948.0,75981317220.0,68883021571.0
106199394079.0,17917667552.0,21188950029.0,21372140549.0
293676622715.0,68892730911.0,56242052602.0,59525008253.0
1837806618366.0,938335683000.0,814847740232.0,815126042300.0
5149234224.0,4534481049.0,-106463249945.0,-59465184534.0
19061195366730.0,905454255763.0,266443137013.0,283684337150.0
744580341694.0,436596683469.0,285002344122.0,285322946630.0
2906177297183.0,1719058650161.0,486863010389.0,503962328939.0
3120367476027.0,1710570189323.0,925787501617.0,930644050935.0
417485438238.0,276053827739.0,151849335627.0,151915020429.0
572890966655.0,188060462195.0,32063129806.0,32489599803.0
681740913400.0,81573959172.0,67545641992.0,67517343725.0
1073199177579.0,51279957246.0,30979290025.0,31528812542.0
26703698429.0,21460359350.0,26408028351.0,26281607352.0
22439004239.0,8484923330.0,2794337109.0,2137953084.0
1460554037460.0,209158113776.0,79201609108.0,84996273553.0
95730274466.0,13252908357.0,3315885503.0,3156585900.0
36099274547.0,14349983754.0,5886921020.0,5880352657.0
30856393000000.0,610514752463.5018,22052225000000.0,16730791000000.0
567481233266.0,95771153349.0,64968061624.0,66062998199.0
115188432401.0,1059491977.0,1112837723.0,1049710850.0
1875818093.0,54545455.0,-15274963945.0,-16184240519.0
23541850564.0,8129508478.0,5121259158.0,6420022284.0
460882195733.0,28900958583.0,11226661135.0,11409225071.0
2963175877629.0,204058963100.0,24528467432.0,27060390355.0
133591382404.0,33093715692.0,18176389494.0,18420386411.0
1899426872221.0,417480322565.0,249584323793.0,253446906527.0
